Bilingual List of Shanghai Subway Stations

 Line 1 一号线 (yī hào xiàn)
4,Shanghai Stadium 上海体育场 (shàng hǎi tǐ yù chǎng)
4,Dong'an Rd. 东安路 (dōng ān lù)
4,Damuqiao Rd. 大木桥路 (dà mù qiáo lù)
4,Luban Rd. 鲁班路 (lǔ bān lù)
4,South Xizang Rd. 西藏南路 (xī zàng nán lù)
4,Nanpu Bridge 南浦大桥 (nán pǔ dà qiáo)
4,Tangqiao 塘桥 (táng qiáo)
4,Lancun Rd. 蓝村路 (lán cūn lù)
4,Pudian Rd. 浦电路 (pǔ diàn lù)
4,Century Avenue 世纪大道 (shì jì dà dào)
4,Pudong Avenue 浦东大道 (pǔ dōng dà dào)
4,Yangshupu Rd. 杨树浦路 (yáng shù pǔ lù)
4,Dalian Rd. 大连路 (dà lián lù)
4,Linping Rd. 临平路 (lín píng lù)
4,Hailun Rd. 海伦路 (hǎi lún lù)
4,Baoshan Rd. 宝山路 (bǎo shān lù)
4,Shanghai Railway Station (North Square) 上海火车站（北广场）(shàng hǎi hǒ chē zhàn (běi guǎng chǎng))
4,Zhongtan Rd. 中潭路 (zhōng tán lù)
4,Zhenping Rd. 镇坪路 (zhèn píng lù)
4,Caoyang Rd. 曹杨路 (cáo yáng lù)
4,Jinshajiang Rd. 金沙江路 (jīn shā jiāng lù)
4,Zhongshan Park 中山公园 (zhōng shān gōng yuán)
4,West Yan'an Rd. 延安西路 (yán ān xī lù)
4,Hongqiao Rd. 虹桥路 (hóng qiáo lù)

 Line 5 五号线 (wǔ hào xiàn)
5,Xinzhuang 莘庄 (xīn zhuāng)
5,Chunshen Rd. 春申路 (chūn shēn lù)
5,Yindu Rd. 银都路 (yín dū lù)
5,Zhuanqiao 颛桥 (zhuān qiáo)
5,Beiqiao 北桥 (běi qiáo)
5,Jianchuan Rd. 剑川路 (jiàn chuān lù)
5,Dongchuan Rd. 东川路 (dōng chuān lù)
5,Jinping Rd. 金平路 (jīn píng lù)
5,Huaning Rd. 华宁路 (huá níng lù)
5,Wenjing Rd. 文井路 (wén jǐng lù)
5,Minhang Development Zone 闵行开发区 (mǐn háng kāi fā qū)

 Line 6 六号线 (liù hào xiàn)
6,Gangcheng Rd. 港城路 (gǎng chéng lù)
6,Waigaoqiao Free Trade Zone (N) 外高桥保税区北站 (wài gāo qiáo bǎo shuì qū běi zhàn)
6,Hangjin Rd. 航津路 (háng jīn lù)
6,Waigaoqiao Free Trade Zone (S) 外高桥保税区南站 (wài gāo qiáo bǎo shuì qū nán zhàn)
6,Zhouhai Rd. 洲海路 (zhōu hǎi lù)
6,Wuzhou Avenue 五洲大道 (wǔ zhōu dà dào)
6,Dongjing Rd. 东靖路 (dōng jìng lù)
6,Jufeng Rd. 巨峰路 (jù fēng lù)
6,Wulian Rd. 五莲路 (wǔ lián lù)
6,Boxing Rd. 博兴路 (bó xīng lù)
6,Jinqiao Rd. 金桥路 (jīn qiáo lù)
6,Yunshan Rd. 云山路 (yún shān lù)
6,Deping Rd. 德平路 (dé píng lù)
6,Beiyangjing Rd. 北洋泾路 (běi yáng jīng lù)
6,Minsheng Rd. 民生路 (mín shēng lù)
6,Yuanshen Stadium 源深体育中心 (yuán shēn tǐ yù zhōng xīn)
6,Century Avenue 世纪大道 (shì jì dà dào)
6,Pudian Rd. 浦电路 (pǔ diàn lù)
6,Lancun Rd. 蓝村路 (lán cūn lù)
6,Children's Medical Center 上海儿童医学中心 (ér tóng yī xué zhōng xīn)
6,Linyi Xincun 临沂新村 (lín yí xīn cūn)
6,West Gaoke Rd. 高科西路 (gāo kē xī lù)
6,Dongming Rd. 东明路 (dōng míng lù)
6,Gaoqing Rd. 高青路 (gāo qīng lù)
6,West Huaxia Rd. 华夏西路 (huá xià xī lù)
6,Shangnan Rd. 上南路 (shàng nán lù)
6,South Lingyan Rd. 灵岩南路 (líng yán nán lù)

 Line 7 七号线 (qī hào xiàn)
7,Huamu Rd.  花木路 (huā mù lù)
7,Longyang Rd.  龙阳路 (lóng yáng lù)
7,Fanghua Rd.  芳华路 (fāng huá lù)
7,Jinxiu Rd.  锦绣路 (jǐn xiù lù)
7,South Yanggao Rd.  杨高南路 (yáng gāo nán lù)
7,West Gaoke Rd.  高科西路 (gāo kē xī lù)
7,Yuntai Rd.  云台路 (yún tái lù)
7,Yaohua Rd.  耀华路 (yào huá lù)
7,Changqing Rd.  长清路 (cháng qīng lù)
7,Chuanchang Rd.  船厂路 (chuán chǎng lù)
7,Dong'an Rd.  东安路 (dōng ān lù)
7,Zhaojiabang Rd.  肇家浜路 (zhào jiā bāng lù)
7,Changshu Rd.  常熟路 (cháng shú lù)
7,Jing'an Temple  静安寺 (jìng ān sì)
7,Changping Rd.  昌平路 (chāng píng lù)
7,Changshou Rd.  长寿路 (cháng shòu lù)
7,Zhenping Rd.  镇坪路 (zhèn píng lù)
7,Langao Rd.  岚皋路 (lán gāo lù)
7,Xincun Rd.  新村路 (xīn cūn lù)
7,Dahua 3rd Rd.  大华三路 (dà huá sān lù)
7,Xingzhi Rd.  行知路 (xíng zhī lù)
7,Dachang Town  大场镇 (dà cháng zhèn)
7,Changzhong Rd.  场中路 (cháng zhōng lù)
7,Shangda Rd.  上大路 (shàng dà lù)
7,Nanchen Rd.  南陈路 (nán chén lù)
7,Shanghai University  上海大学 (shàng hǎi dà xué)
7,Qihua Rd. 祁华路 (qí huá lù)
7,Gucun Park 顾村公园 (gù cūn gōng yuán)
7,Liuxing 刘行 (liú xíng)
7,Panguang Rd. 潘广路 (pān guǎng lù)
7,Luonan Xincun 罗南新村 (luó nán xīn cūn)
7,Meilan Lake 美兰湖 (měi lán hú)


 Line 8 八号线 (bā hào xiàn)
8,Shiguang Rd. 市光路 (shì guāng lù)
8,Nenjiang Rd. 嫩江路 (nèn jiāng lù)
8,Xiangyin Rd. 翔殷路 (yīn xiáng lù)
8,Huangxing Park 黄兴公园 (huáng xīng gōng yuán)
8,Middle Yanji Rd. 延吉中路 (yán jí zhōng lù)
8,Huangxing Rd. 黄兴路 (huáng xīng lù)
8,Jiangpu Rd. 江浦路 (jiāng pǔ lù)
8,Anshan Xincun 鞍山新村 (ān shān xīn cūn)
8,Siping Rd. 四平路 (sì píng lù)
8,Quyang Rd. 曲阳路 (qǔ yáng lù)
8,Hongkou Football Stadium 虹口足球场 (hóng kǒu zú qiú chǎng)
8,North Xizang Rd. 西藏北路 (xī zàng běi lù)
8,Zhongxing Rd. 中兴路 (zhōng xīng lù)
8,Qufu Rd. 曲阜路 (qū fù lù)
8,People's Square 人民广场 (rén mín guǎng chǎng)
8,Dashijie 大世界 (dà shì jiè)
8,Laoximen 老西门 (lǎo xī mén)
8,Lujiabang Rd. 陆家浜路 (lù jiā bāng lù)
8,South Xizang Rd. 西藏南路 (xī zàng nán lù)
8,Yaohua Rd. 耀华路 (yào huá lù)
8,Chengshan Rd. 成山路 (chéng shān lù)
8,Yangsi 杨思 (yáng sī)
8,Jiyang Rd. 济阳路 (jǐ yáng lù)
8,Lingzhao Xincun 凌兆新村 (líng zhào xīn cūn)
8,Luheng Rd. 芦恒路 (lú héng lù)
8,Pujiang Town 浦江镇 (pǔ jiāng zhèn)
8,Jiangyue Rd. 江月路 (jiāng yuè lù)
8,Lianhang Rd. 联航路 (lián háng lù)
8,Shendu Highway 沈杜公路 (shěn dù gōng lù)

 Line 9 九号线 (jiǔ hào xiàn)
9,Middle Yanggao Road 杨高中路 (yáng gāo zhōng lù)
9,Century Avenue  世纪大道 (shì jì dà dào)
9,Shangcheng Rd.  商城路 (shāng chéng lù)
9,Xiaonanmen  小南门 (xiǎo nán mén)
9,Lujiabang Rd.  陆家浜路 (lù jiā bāng lù)
9,Madang Rd.  马当路 (mǎ dāng lù)
9,Dapuqiao  打浦桥 (dǎ pǔ qiáo)
9,Jiashan Rd.  嘉善路 (jiā shàn lù)
9,Zhaojiabang Rd.  肇家浜路 (zhào jiā bāng lù)
9,Xujiahui  徐家汇 (xú jiā huì)
9,Yishan Rd. 宜山路 (yí shān lù)
9,Guilin Rd. 桂林路 (guì lín lù)
9,Caohejing Hi-Tech Park 漕河泾开发区 (cáo hé jīng kāi fā qū)
9,Hechuan Rd. 合川路 (hé chuān lù)
9,Xingzhong Rd. 星中路 (xīng zhōng lù)
9,Qibao 七宝 (qī bǎo)
9,Zhongchun Rd. 中春路 (zhōng chūn lù)
9,Jiuting 九亭 (jiǔ tíng)
9,Sijing 泗泾 (sì jīng)
9,Sheshan 佘山 (shé shān)
9,Dongjing 洞泾 (dòng jīng)
9,Songjiang University Town 松江大学城 (sōng jiāng dà xué chéng)
9,Songjiang Xincheng 松江新城 (sōng jiāng xīn chéng)

 Line 10 十号线 (shí hào xiàn)
10,New Jiangwan City 新江湾城 (xīn jiāng wān chéng)
10,East Yingao Rd. 殷高东路 (yīn gāo dōng lù)
10,Sanmen Rd. 三门路 (sān mén lù)
10,Jiangwan Stadium 江湾体育场 (jiāng wān tǐ yù chǎng)
10,Wujiaochang 五角场 (wǔ jiǎo chǎng)
10,Guoquan Rd 国权路 (guó quán lù)
10,Tongji University 同济大学 (tóng jì dà xué)
10,Siping Rd. 四平路 (sì píng lù)
10,Youdian Xincun 邮电新村 (yóu diàn xīn cūn)
10,Hailun Rd. 海伦路 (hǎi lún lù)
10,North Sichuan Rd. 四川北路 (sì chuān běi lù)
10,Tiantong Rd. 天潼路 (tiān tóng lù)
10,East Nanjing Rd. 南京东路 (nán jīng dōng lù)
10,Yuyuan Garden 豫园 (yù yuán)
10,Laoximen 老西门 (lǎo xī mén)
10,Xintiandi 新天地 (xīn tiān dì)
10,South Shaanxi Rd. 陕西南路 (shǎn xī nán lù)
10,Shanghai Library 上海图书馆 (shàng hǎi tú shū guǎn)
10,Jiaotong University 交通大学 (jiāo tōng dà xué)
10,Hongqiao Rd. 虹桥路 (hóng qiáo lù)
10,Songyuan Rd. 宋园路 (sòng yuán lù)
10,Yili Rd. 伊犁路 (yī lí lù)
10,Shuicheng Rd. 水城路 (shuǐ chéng lù)
10,Longxi Rd. 龙溪路 (lóng xī lù)
10,Longbai Xincun 龙柏新村 (lóng bǎi xīn cūn)
10,Ziteng Rd. 紫藤路 (zǐ téng lù)
10,Hangzhong Rd. 航中路 (háng zhōng lù)

 Line 11 十一号线 (shí yī hào xiàn)
11,Disneyland Park 迪士尼 (dí shì ní)
11,Kangxin Highway 康新公路 (kāng xīn gōng lù)
11,Xiuyan Rd. 秀沿路 (xiù yán lù)
11,Luoshan Rd. 罗山路 (luó shān lù)
11,Yuqiao 御桥 (yù qiáo)
11,Pusan Rd. 浦三路 (pǔ sān lù)
11,East Sanlin 三林东 (sān lín dōng)
11,Sanlin 三林 (sān lín)
11,Oriental Sports Center 东方体育中心 ((dōng fāng tǐ yù zhōng xīn)
11,Longyao Rd. 龙耀路 (lóng yào lù)
11,Yunjin Rd. 云锦路 (yún jǐn lù)
11,Longhu 龙华 (lóng huá)
11,Swimming Center 上海游泳馆 (yóu yǒng guǎn)
11,Xujiahui 徐家汇 (xú jiā huì)
11,Jiaotong University 交通大学 (jiāo tōng dà xué)
11,Jiangsu Rd. 江苏路 (jiāng sū lù)
11,Longde Rd. 隆德路 (lóng dé lù)
11,Caoyang Rd. 曹阳路 (cáo yáng lù)
11,Fengqiao Rd. 枫桥路 (fēng qiáo lù)
11,Zhenru 真如 (zhēn rú)
11,West Railway Station 上海西站 (shàng hǎi xī zhàn)
11,Liziyuan 李子园 (lǐ zi yuán)
11,Qilianshan Rd. 祁连山路 (qí lián shān lù)
11,Wuwei Rd. 武威路 (wǔ wēi lù)
11,Taopu Xincun 桃浦新村 (táo pǔ xīn cūn)
11,Nanxiang 南翔 (nán xiáng)
11,Malu 马陆 (mǎ lù)
11,Jiading Xincheng 嘉定新城 (jiā dìng xīn chéng)
11,Baiyin Rd. 白银路 (bái yín lù)
11,West Jiading 嘉定西站 (jiā dìng xī zhàn)
11,North Jiading 嘉定北站 (jiā dìng běi zhàn)
11,Cirsuit 上海赛车场 (shàng hǎi sài chē chǎng)
11,East Changji Road 昌吉东路 (chāng jí dōng lù)
11,International Automobile City 上海汽车城 (shàng hǎi qì chē chéng)
11,Anting 安亭 (ān tíng)
11,Zhaofeng Rd. 兆丰路 (zhào fēng lù)
11,Guangming Rd. 光明路 (guāng míng lù)
11,Huaqiao 花桥 (huā qiáo) 

 Line 12 十二号线 (shí èr hào xiàn)
12,Qixin Rd. 七莘路 (qī xīn lù)
12,Hongxin Rd. 虹莘路 (hòng xīn lù)
12,Gudai Rd. 顾戴路 (gù dài lù)
12,Donglan Rd. 东兰路 (dōnglán lù)
12,Hongmei Rd. 虹梅路 (hòng méi lù)
12,Hongcao Rd. 虹漕路 (hòng cáo lù)
12,Guilin Park 桂林公园 (guì lín gōng yuán)
12,Caobao Rd. 漕宝路 (cáo bǎo lù)
12,Longcao Rd. 龙漕路 (lòng cáo lù)
12,Longhua 龙华 (lòng huá)
12,Longhua Rd. (M) 龙华中路 (lòng huá zhōng lù)
12,Damuqiao Rd. 大木桥路 (dà mù qiáo lù)
12,Jiashan Rd. 嘉善路 (jiā shàn lù)
12,Shaanxi Rd. (S) 陕西南路 (shǎan xī nán lù)
12,Nanjing Rd. (W) 南京西路 (nán jīng xī lù)
12,Hanzhong Rd. 汉中路 (hàn zhōng lù)
12,Jinhai Rd. 金海路 (jīn hǎi lù)
12,Shenjiang Rd. 申江路 (shēn jiāng lù)
12,Jinjing Rd. 金京路 (jīn jīng lù)
12,Yanggao North Rd. 杨高北路 (yáng gāo běi lù)
12,Jufeng Rd. 巨峰路 (jù fēng lù)
12,Donglu Rd. 东陆路 (dōng lù lù)
12,Fuxing Island 复兴岛 (fù xīng dào)
12,Aiguo Rd. 爱国路 (ài guó lù)
12,Longchang Rd. 隆昌路 (lóng chāng lù)
12,Ningguo Rd. 宁国路 (níng guó lù)
12,Pujiang Park 浦江公园 (pǔ jiāng gōng yuán)
12,Dalian Rd. 大连路 (dà lián lù)
12,Tilanqiao 提篮桥 (tí lán qiáo)
12,International Cruise Terminal 国际港客运中心 (guó jì gǎng kè yùn zhōng xīn)
12,Tiantong Rd. 天潼路 (tiān tóng lù)
12,Qufu Rd. 曲阜路 (qū fǔ lù)

 Line 13 十三号线 (shí sān hào xiàn)
13,Jinyun Rd. 金运路 (jīn yùn lù)
13,West Jinshajiang Rd. 金沙江西路 (jīn shā jiāng xī lù)
13,Fengzhuang 丰庄 (fēng zhuāng)
13,South Qilianshan Rd. 祁连山南路 (qí lián shān nán lù)
13,Zhenbei Rd. 真北路 (zhēn běi lù)
13,Daduhe Rd. 大渡河路 (dà dù hé lù)
13,Jinshajiang Rd. 金沙江路 (jīn shā jiāng lù)
13,Longde Rd. 隆德路 (lóng dé lù)
13,Wuning Rd. 武宁路 (wǔ níng lù)
13,Changshou Rd. 长寿路 (cháng shòu lù)
13,Jiangning Rd. 江宁路 (Jiāng Níng lù)
13,Hanzhong Rd. 汉中路 (hàn zhōng lù)
13,Natural History Museum 自然博物馆 (zì rá bó wù guǎn)
13,Nanjing Rd. (W) 南京西路 (nán jīng xī lù)
13,Huaihai Rd. (M) 淮海中路 (huái hǎi zhōng lù)
13,Xintiandi 新天地 (Xīntiāndì)
13,Madang Rd. 马当路 (Mǎdāng lù)
13,World Expo Museum 世博会博物馆 (shì bó huì bó wù guǎn)
13,Shibo Avenue 世博大道 (Shìbó dà dào)

 Line 16 十六号线 (shí liù hào xiàn)
16,Longyang Rd. 龙阳路 (lóng yáng lù)
16,Huaxia Middle Rd. 华夏中路 (huá xià zhōng lù)
16,Luoshan Rd. 罗山路 (luó shān lù)
16,East Zhoupu 周浦东 (zhōu pǔ dōng)
16,Heshahangcheng 鹤沙航城 (hè shā háng chéng)
16,East Hangtou 航头东 (háng tóu dōng)
16,Xinchang 新场 (xīn chǎng)
16,Wild Animal Park 野生动物园 (yě shēng dòng wù yuán)
16,Huinan 惠南 (huì nán)
16,East Huinan 惠南东 (huì nán dōng)
16,Shuyuan 书院 (shū yuàn)
16,Lingang Avenue 临港大道 (lín gǎng dà dào)
16,Dishui Lake 滴水湖 (dī shuǐ hú)
